rua,bairro,numero,cep,cidade,estado,pais
R. Manoel Ramiro,Rosário,115,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Dr. Clizenaldo,Areia Branca,66,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. José Bonifácio,Juá,585,58200-000,Guarabira,PB,Brasil
R. do Cruzeiro,Nao possui Bairro, 2,58270-000,Araçagi,PB,Brasil
PB-073,Distrito Industrial,24,58200-000,Guarabira,PB,Brasil
R. Eugênio Maia de Carvalho,Bairro Novo,1014,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Nao possui Bairro, 396,58200-000,Guarabira,PB,Brasil
R. Projetada,Pirpiri,300,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,552,58200-000,Guarabira,PB,Brasil
R. Maria Pimentel da Cunha,Nao possui Bairro, 248,58208-000,Cuitegi,PB,Brasil
R. Antônio Camelo de Melo,Nao possui Bairro, 127,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
SITIO CUITE DOS NEGROS,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Vinte e Dois de Julho,Conj. Santo Amaro,12,58270-000,Araçagi,PB,Brasil
Av. Dep. José Rocha,Nao possui Bairro, 299,58270-000,Araçagi,PB,Brasil
R. Tranquilo Xavier,Nao possui Bairro, 282,58200-000,Guarabira,PB,Brasil
R. Silvino Marcolino da Silva,Nao possui Bairro, 228,58270-000,Araçagi,PB,Brasil
Av. Dom Pedro II,Bairro Novo,440,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Centro,655,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,673,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 106,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Isabel dos Anjos,Rosário,49,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Osório de Aquino,Centro,29,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,373,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José da Cunha Rego,Bairro Novo,729,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Nao possui Bairro, 648,58200-000,Guarabira,PB,Brasil
R. Odilon Nelson Dantas,Cuitegi,36,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Rua Dr. Antônio Guedes,Nao possui Bairro, 686,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,326,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Hermenegildo de Almeida,São José,191,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 134,58208-000,Cuitegi,PB,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,1411,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Manoel de F. Pessoa,Bairro Novo,85,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. da Glória,Bairro Novo,450,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Assis Chateaubriand,511,58200-000,Guarabira,PB,Brasil
Av. Nossa Sra. Da Luz,Cj - Clóvis Bezerra,17,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 778,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Rod - PB-057,Nao possui Bairro,Sem Numero,58200-000,Rod,PB,Brasil
R. Eutália B.Carvalho,Nordeste I,26,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Joca Carteiro Bairro Santa Terezinha,Bairro Novo,1046,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Joca Carteiro Bairro Santa Terezinha,Bairro Novo,1046,58200-000,Guarabira,PB,Brasil
4F2H+RW Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,RW Cuitegi,PB,Brasil
Av. Napoleao Laureano,Bairro Novo,817,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Manoel Cassimiro da Silva,Centro,87,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Henrique Pacífico,Primavera,329,58200-000,Guarabira,PB,Brasil
Rua Manoel Celeiro,Cordeiro,260,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. João Cosmo,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Filomena Cavalcante,Rosário,56,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Rui Barbosa,Primavera,559,58200-000,Guarabira,PB,Brasil
R. Profa. Maria Ivanilda da Silva,Rosário,121,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Alto Boa Vista,1377,58200-000,Guarabira,PB,Brasil
R. Cônego Matias Freire,Cordeiro,272,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. João Félix da Silva,Nao possui Bairro, 46,58270-000,Araçagi,PB,Brasil
R. Anísio Marinho dos Santos,Nao possui Bairro, 680,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Nao possui Bairro,Sem Numero,65900-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Ponte - Rio Cuitegi - PB-075,Nao possui Bairro, 10,58208-000,Ponte,Rio,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Oseas Henrique Bulhoes,Primavera,246,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Antônio de Freitas Albuquerque,Santa Terezinha,69,58200-000,Guarabira,PB,Brasil
R. Manoel Ramiro,Rosário,114,58200-000,Guarabira,PB,Brasil
R. do Cruzeiro,Nao possui Bairro, 162,58270-000,Araçagi,PB,Brasil
Av. Dom Marcelo Pinto Carvalho,São José,71,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,291,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Nao possui Bairro, 373,58208-000,Cuitegi,PB,Brasil
Av. João Monteiro,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Olívio Maroja,Nao possui Bairro, 285,58270-000,Araçagi,PB,Brasil
R. José Joaquim de Melo,Cuitegi,107,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,1327,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. do Comércio,Cuitegi,59,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Antônio Uchôa,Centro,57,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Francisco Camilo Pereira,Bairro Novo,145,58200-000,Guarabira,PB,Brasil
R. Antônio de Freitas Albuquerque,Santa Terezinha,68,58200-000,Guarabira,PB,Brasil
R. Augusto dos Anjos,Assis Chateaubriand,16,58200-000,Guarabira,PB,Brasil
4GWR+5M Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,1150,58200-000,Guarabira,PB,Brasil
R. Guarani,Centro,42,58200-000,Guarabira,PB,Brasil
Praça Municipal de Cuitegi - R. José Joaquim de Melo,Nao possui Bairro, 373,58208-000,Praça Municipal de Cuitegi,R,Brasil
R. José Joaquim de Melo,Nao possui Bairro, 169,58208-000,Cuitegi,PB,Brasil
R. Pirpiri,Pirpiri,202,58200-000,Guarabira,PB,Brasil
R. Ulisses de Menesses Freitas,Bairro Novo,1150,58200-000,Guarabira,PB,Brasil
R. Raimundos Cruz,Nao possui Bairro, 2,58270-000,Araçagi,PB,Brasil
R - Av. Des. Pedro Bandeira,Rosário,805,58200-000,R,Av,Brasil
R. José da Cunha Rego,Bairro Novo,996,58200-000,Guarabira,PB,Brasil
R. João Pímentel,Nao possui Bairro, 76,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Antônio Gouvêia da Silva,Bairro Novo,517,58200-000,Guarabira,PB,Brasil
R. Rosil Guedes,Nordeste,58,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
Fazenda Nossa Sra. De Aparecida,Juá,354,58200-000,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,557,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
4F8V+GC Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,GC Cuitegi,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. João Pímentel,Nao possui Bairro, 76,58208-000,Cuitegi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,484,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Nordeste II,634,58200-000,Guarabira,PB,Brasil
R. Antonieta M Mendes,Santa Terezinha,138,58200-000,Guarabira,PB,Brasil
Unnamed Road - Cachoeira,Nao possui Bairro,Sem Numero,58200-000,Unnamed Road,Cachoeira,Brasil
R. São João,Nordeste,57,58200-000,Guarabira,PB,Brasil
R. Carlos Chagas,Conj. Chateaubriand,300,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
3FV7+6M Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Santo Amaro,Nao possui Bairro, 390,58270-000,Araçagi,PB,Brasil
R. Emilio Madruga,Cuitegi,79,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Sítio Piripiri Sítio Piripiri - Guarabira,Nao possui Bairro,Sem Numero,58200-000,tio Piripiri,Guarabira,Brasil
R. Antônio Uchôa,Centro,91,58200-000,Guarabira,PB,Brasil
R. do Cruzeiro,Nao possui Bairro, 183,58270-000,Araçagi,PB,Brasil
R. Jáder Gondin,Conj. Santo Amaro,567,58270-000,Araçagi,PB,Brasil
R. Hermenegildo de Almeida,Esplanada,28,58200-000,Guarabira,PB,Brasil
R. Silvino Marcolino da Silva,Nao possui Bairro, 143,58270-000,Araçagi,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
PB-073,Centro,526,58200-000,Guarabira,PB,Brasil
R. Pedro Batista,Nao possui Bairro, 75,58270-000,Araçagi,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Severino Paiva Resende,Nordeste,231,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Areia Branca,930,58200-000,Guarabira,PB,Brasil
R. B de Pontes,Bairro Novo,128,58200-000,Guarabira,PB,Brasil
R. João Pímentel,Nao possui Bairro, 76,58208-000,Cuitegi,PB,Brasil
R. João Pímentel Filho,Centro,172,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Quinze de Novembro,Centro,152,58200-000,Guarabira,PB,Brasil
Corredor Pará Conjunto,Nao possui Bairro, 154,58270-000,Araçagi,PB,Brasil
5G8J+67 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
PB-073,Conj. Chateaubriand,73,58200-000,Guarabira,PB,Brasil
R. Itororo,São José,100,58200-000,Guarabira,PB,Brasil
5J26+RJ Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,RJ Araçagi,PB,Brasil
4F7J+88 Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. Severino Paiva Rezende,Nordeste I,320,58200-000,Guarabira,PB,Brasil
R. Augusto dos Anjos,Conj. Chateaubriand,206,58200-000,Guarabira,PB,Brasil
PB-073,Centro,58,58200-000,Guarabira,PB,Brasil
R. Antônio Cavalcante de Melo,Conj. Chateaubriand,236,58200-000,Guarabira,PB,Brasil
R. Joca Ataíde,Bairro Novo,790,58200-000,Guarabira,PB,Brasil
3FV7+6M Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. Carlos Chagas,Assis Chateaubriand,244,58200-000,Guarabira,PB,Brasil
R. Sólon de Lucena,Centro,206,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Antônio Diogo,Bairro Novo,713,58200-000,Guarabira,PB,Brasil
R. Costa Beiriz,Centro,28,58200-000,Guarabira,PB,Brasil
3H57+Q8 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Delfino Cosme,Nordeste1,330,58200-000,Guarabira,PB,Brasil
R. Manoel Carlos da Silva,Areia Branca,527,58200-000,Guarabira,PB,Brasil
R. Ulisses de Menesses Freitas,Bairro Novo,1150,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Rubéns Coelho Pereira Filho,Alto Boa Vista,161,58200-000,Guarabira,PB,Brasil
faz Sítio Pendência - s/n em Frente ao Posto Fiscal - Cachoeira,Nao possui Bairro,Sem Numero,58200-000,n em Frente ao Posto Fiscal,Cachoeira,Brasil
73 - R. Luís Galvão,R. Luís Galvão,73,58200-000,Guarabira,PB,Brasil
R. A Ac R Emilia De Farias,Cuitegi,35,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Severino Paiva Resende,Nordeste,455,58200-000,Guarabira,PB,Brasil
Corredor Pará Conjunto,Nao possui Bairro, 154,58270-000,Araçagi,PB,Brasil
R. José Henrique de Bulhões,Primavera,228,58200-000,Guarabira,PB,Brasil
R. Nossa Sra. do Rosário,Nao possui Bairro, 31,58270-000,Araçagi,PB,Brasil
R. Cel. João Pímentel Filho,Juá,4,58200-000,Guarabira,PB,Brasil
R. Humberto P. Aranha,Nordeste,165,58200-000,Guarabira,PB,Brasil
R. Pedro Batista,Nao possui Bairro, 193,58270-000,Araçagi,PB,Brasil
R. Felipe Rodrigues,Nao possui Bairro, 39,58270-000,Araçagi,PB,Brasil
R. Eulina de Almeida,Bairro Novo,502,58200-000,Guarabira,PB,Brasil
4HF8+M7 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Antonieta M Mendes,Santa Terezinha,130,58200-000,Guarabira,PB,Brasil
R. Antonieta M Mendes,Santa Terezinha,130,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
5J3H+FR Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,FR Araçagi,PB,Brasil
R. Siqueira Campos,São José,108,58200-000,Guarabira,PB,Brasil
R. Abdom Paiva,Esplanada,66,58200-000,Guarabira,PB,Brasil
R. Carmélia Guedes,Nordeste,312,58200-000,Guarabira,PB,Brasil
Av. Dep. José Rocha,Nao possui Bairro, 529,58270-000,Araçagi,PB,Brasil
R. Delfino Cosme,Nordeste I,439,58200-000,Guarabira,PB,Brasil
R. Napoleão Laureano,Bairro Novo,1013,58200-000,Guarabira,PB,Brasil
R. Zéquinha Uchôa,Cj Clovis Bezerra,450,58200-000,Guarabira,PB,Brasil
PB-057,Guarabira,1,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. 3 de Maio,Centro,86,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Cônego Matias Freire,Cordeiro,317,58200-000,Guarabira,PB,Brasil
3FV7+8P Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. Pref. Manoel Lordão,Centro,114,58200-000,Guarabira,PB,Brasil
4F8V+3H Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. Severino Paiva Rezende,Nordeste I,279,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
4F3Q+2R Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
PB-057,Guarabira,299,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Almeida Barreto,Centro,30,58200-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Areia Branca,330,58200-000,Guarabira,PB,Brasil
Av. Adolfo Muniz de Medeiros,Nao possui Bairro, 113,58270-000,Araçagi,PB,Brasil
R. Raimundos Cruz,Nao possui Bairro, 310,58270-000,Araçagi,PB,Brasil
R. Zacarias G. dos Santos,Centro,140,58200-000,Guarabira,PB,Brasil
R. 3 de Maio,Centro,62,58200-000,Guarabira,PB,Brasil
4FMX+2C Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Av. Sabiniano Maia,Centro,836,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
R - Av. Des. Pedro Bandeira,Rosário,805,58200-000,R,Av,Brasil
4G7J+3C Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Osório de Aquino,Centro,45,58200-000,Guarabira,PB,Brasil
4G7J+3C Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
3FV7+G8 Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
PB-075,Nao possui Bairro, 20,58208-000,Cuitegi,PB,Brasil
R. Pref. Manoel Lordão,Nao possui Bairro, 691,58200-000,Guarabira,PB,Brasil
Contorno Rodoviário João Pedro Teixeira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Rua Francisca T. Sales,São José,46,58200-000,Guarabira,PB,Brasil
R. Sra. da Luz,Nao possui Bairro, 15,58200-000,Guarabira,PB,Brasil
PB-077,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Delfino Cosme,Nordeste,250,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,1155,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Guarabira,119,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Joaquim de Melo,Nao possui Bairro, 62,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,191,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 394,58270-000,Araçagi,PB,Brasil
R. Bianor Ramos Amaral,Nordeste,179,58200-000,Guarabira,PB,Brasil
R. Manoel Ramiro,Rosário,101,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
The White House,Nao possui Bairro, 20500,Nao possui CEP,Nao possui Cidade,Nao possui Estado,EUA
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rêgo,Bairro Novo,700,58200-000,Guarabira,PB,Brasil
R. Zéquinha Uchôa,Clóvis Bezerra,117,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 180,58208-000,Cuitegi,PB,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
R. São João,Nao possui Bairro, 50,58200-000,Guarabira,PB,Brasil
R. Pedro Batista,Nao possui Bairro, 200,58270-000,Araçagi,PB,Brasil
R. Felipe Rodrigues,Nao possui Bairro, 119,58270-000,Araçagi,PB,Brasil
R. Mal. Deodoro da Fonseca,Centro,61,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Areia Branca,824,58200-000,Guarabira,PB,Brasil
R. Antônio Diogo,Bairro Novo,390,58200-000,Guarabira,PB,Brasil
R. Getúlio Vargas,Centro,294,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Esplanada,326,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,131,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Des. Pedro Bandeira,Rosário,676,58200-000,Guarabira,PB,Brasil
R. Ver. Joao Tiburcio,Cuitegi,146,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José da Cunha Rêgo,Centro,220,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,1045,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 2092,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Antônio Benvindo,Santa Terezinha,28,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 92,58208-000,Cuitegi,PB,Brasil
R. Elói Pereira,Rosário,146,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
Prefeito - R. Manoel Simões,Centro,111,58200-000,Prefeito,R,Brasil
PB-073,Nao possui Bairro, 137,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. Eliane Paula Guedes,A Definir,18,58200-000,Guarabira,PB,Brasil
R. Severino Mendes,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Napoleão Laureano,loja 02 - Centro,171,58200-000,Guarabira,PB,Brasil
R. Maria Batista da Silva Costa Barbosa,Nao possui Bairro, 160,58270-000,Araçagi,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Raimundos Cruz,Nao possui Bairro, 426,58270-000,Araçagi,PB,Brasil
R. Pref. Manoel Lordão,Esplanada,255,58200-000,Guarabira,PB,Brasil
R. Celina Pinto,Nordeste,520,58200-000,Guarabira,PB,Brasil
R. João Alfredo Galvão,João Cassimiro,212,58200-000,Guarabira,PB,Brasil
Rua José Américo,Nordeste,315,58200-000,Guarabira,PB,Brasil
R. Manoel Ribeiro Franco,Nao possui Bairro, 144,58270-000,Araçagi,PB,Brasil
R. Dois,Nao possui Bairro, 91,58208-000,Cuitegi,PB,Brasil
R. Manoel Paulo Da Silva,Cuitegi,30,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. João Alexandre de Araújo,Nao possui Bairro,Sem Numero,58208-000,SN,CENTRO,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. Jose Alves Trigueiro,Bairro Novo,870,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rêgo,Bairro Novo,735,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Leonel Ferraz,Bairro Novo,465,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. Zéquinha Uchôa,Cj Clovis Bezerra,3910,58200-000,Guarabira,PB,Brasil
Aeroporto de Guarabira - Aeródromo Arnaud Clementino de Souza - PB-057,Nao possui Bairro, 62,58200-000, Arnaud Clementino de Souza,PB,Brasil
PB-075,Nao possui Bairro, 92,58208-000,Cuitegi,PB,Brasil
PB-075,Nao possui Bairro, 382,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,810,58200-000,Guarabira,PB,Brasil
